Rank	Taxonpath	Taxon	ERR1	ERR10	ERR11	ERR12	ERR13	ERR14	ERR15	ERR16	ERR17	ERR18	ERR19	ERR2	ERR20	ERR21	ERR22	ERR23	ERR24	ERR25	ERR26	ERR27	ERR28	ERR29	ERR3	ERR30	ERR31	ERR32	ERR33	ERR34	ERR35	ERR36	ERR37	ERR38	ERR39	ERR4	ERR40	ERR41	ERR42	ERR43	ERR44	ERR45	ERR46	ERR47	ERR48	ERR49	ERR5	ERR50	ERR6	ERR7	ERR8	ERR9
root	root	root	331	19011	21993	18367	20999	22670	18724	18924	17219	20775	9835	462	7855	19547	11497	15552	15654	7029	12457	17705	10740	20047	13164	19884	19913	17099	4366	8572	4916	5660	7241	6493	6916	12148	5897	6149	15790	12172	12462	15802	17768	17674	15989	16542	5364	7928	11582	17792	21615	17262
meta	Main genome	Main genome	327	15205	19016	16242	17237	18613	16400	17107	15140	18390	9735	462	6863	19504	11470	14668	15233	6925	10572	16576	10492	16272	12719	16881	19368	16619	4357	7887	4802	5000	6540	6182	6833	12080	5747	6128	14131	8989	12190	15445	16973	17045	15402	15543	5292	7840	11193	15482	20464	14629
meta	Chloroplast	Chloroplast	4	3797	2962	2106	3755	4038	2312	1802	2063	2356	100	0	989	43	27	832	421	104	1883	1128	248	3762	445	3001	543	480	9	681	113	660	701	311	77	68	142	21	1659	3183	272	357	795	629	587	986	70	88	389	2310	1149	2620
meta	Mitochondria	Mitochondria	0	9	15	19	7	19	12	15	16	29	0	0	3	0	0	52	0	0	2	1	0	13	0	2	2	0	0	0	1	0	0	0	6	0	8	0	0	0	0	0	0	0	0	13	2	0	0	0	0	13
meta	No hits	No hits	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
domain	Main genome;Bacteria	Bacteria	327	14262	18770	16041	16995	18228	16065	16042	14585	18215	9735	462	6656	19500	11470	14666	15233	6925	10341	16459	10491	16251	12719	16700	19321	16616	4357	7887	4791	4998	6540	6182	6833	12080	5747	6128	14131	8989	12188	15445	16973	17045	15392	15530	5288	7810	11193	15481	20400	14419
domain	Main genome;Eukaryota	Eukaryota	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
domain	Main genome;Archaea	Archaea	0	943	246	201	241	385	335	1065	555	175	0	0	207	4	0	2	0	0	231	117	1	21	0	181	47	3	0	0	11	2	0	0	0	0	0	0	0	0	2	0	0	0	10	13	4	30	0	0	64	210
domain	Chloroplast;Bacteria (Chloroplast)	Bacteria (Chloroplast)	4	3797	2962	2106	3755	4038	2312	1802	2063	2356	100	0	989	43	27	832	421	104	1883	1128	248	3762	445	3001	543	480	9	681	113	660	701	311	77	68	142	21	1659	3183	272	357	795	629	587	986	70	88	389	2310	1149	2620
domain	Mitochondria;Bacteria (Mitochondrion)	Bacteria (Mitochondrion)	0	9	15	19	7	19	12	15	16	29	0	0	3	0	0	52	0	0	2	1	0	13	0	2	2	0	0	0	1	0	0	0	6	0	8	0	0	0	0	0	0	0	0	13	2	0	0	0	0	13
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	204	8589	10540	9111	9650	11197	9744	8538	7988	10132	7430	271	4516	11318	6408	3440	9220	3204	4355	9120	2029	9262	4715	10222	12419	11946	1879	2829	1624	3142	4622	3900	2033	9159	3733	3552	10318	4101	8507	9515	10999	9425	7046	6492	3562	4335	3534	7583	12262	4505
superkingdom	Main genome;Bacteria;Tenericutes	Tenericutes	0	0	0	0	1	0	0	0	0	0	0	0	0	26	339	0	0	0	1	0	0	0	0	2	0	0	0	0	0	28	0	0	0	0	0	0	2	0	5	0	0	2	9	8	0	8	0	0	0	4
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	10	1149	1717	1286	1745	2148	1707	450	262	771	223	0	368	3820	1931	503	302	1178	976	274	1202	708	727	311	445	206	175	712	88	439	212	366	273	89	231	35	316	634	287	618	651	1201	1513	303	311	65	1255	1628	947	154
superkingdom	Main genome;Bacteria;Bacteroidetes	Bacteroidetes	20	3491	4472	3773	3870	3555	3205	5195	4613	4839	726	36	1370	4197	2713	4479	2752	1788	3280	6151	4295	4678	2475	4859	3765	3920	993	2701	1430	1151	962	809	4250	1699	1387	328	1871	2576	2182	3305	3410	3624	5702	5599	375	2880	2761	6246	4185	4766
superkingdom	Main genome;Bacteria;Firmicutes	Firmicutes	93	1	2	0	0	0	0	5	1	3	2	150	0	0	0	3	8	28	0	0	12	2	3	0	0	2	1219	25	0	0	0	0	0	1	91	1966	0	2	0	0	0	19	4	24	0	6	4	0	0	6
superkingdom	Main genome;Bacteria;Spirochaetes	Spirochaetes	0	0	5	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	9	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
superkingdom	Main genome;Bacteria;Cyanobacteria	Cyanobacteria	0	486	776	761	242	223	285	1152	842	1024	855	0	74	2	3	2964	2501	345	47	208	2229	73	3898	406	2067	292	60	1043	934	142	636	996	12	719	9	111	1379	126	961	1368	1303	2262	337	53	922	30	3403	22	1341	1248
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	0	376	811	810	998	790	833	619	819	1180	147	3	122	6	0	3171	409	78	1480	662	242	1488	85	832	365	126	10	61	604	79	89	71	232	271	269	93	229	1279	222	462	515	291	717	2601	9	24	149	2	1239	3582
superkingdom	Main genome;Bacteria;Epsilonbacteraeota	Epsilonbacteraeota	0	4	10	8	7	12	8	0	2	9	0	2	0	4	2	1	0	237	9	2	13	2	0	17	2	9	0	227	0	6	0	0	2	0	3	0	0	8	0	0	4	3	1	161	0	366	2	0	0	2
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4
superkingdom	Main genome;Bacteria;Chloroflexi	Chloroflexi	0	0	3	0	3	1	0	0	0	5	0	0	0	0	0	0	0	0	8	0	0	0	1	0	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Patescibacteria	Patescibacteria	0	1	5	9	12	1	4	6	0	4	0	0	0	35	6	0	2	10	3	1	0	0	0	0	0	11	7	0	0	0	0	0	4	0	0	2	0	0	0	4	0	6	6	15	0	23	0	0	4	8
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0	77	203	151	164	90	123	57	41	125	2	0	126	10	4	104	3	12	58	19	429	5	808	4	118	21	5	280	98	4	17	38	7	1	21	34	11	246	18	160	83	175	7	175	2	6	53	0	50	112
superkingdom	Main genome;Bacteria;Chlamydiae	Chlamydiae	0	1	2	0	0	4	2	1	2	0	0	0	2	4	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
superkingdom	Main genome;Bacteria;Gemmatimonadetes	Gemmatimonadetes	0	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Lentisphaerae	Lentisphaerae	0	5	33	17	27	21	1	4	5	46	0	0	0	0	3	0	0	0	0	0	0	4	0	8	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	4	0	0	0	0
superkingdom	Main genome;Bacteria;Fusobacteria	Fusobacteria	0	0	4	0	0	0	1	0	1	4	0	0	0	1	0	0	0	9	4	7	2	1	0	15	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	15	0	0	0	8
superkingdom	Main genome;Bacteria;Dependentiae	Dependentiae	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Armatimonadetes	Armatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	0	54	66	57	102	130	131	0	4	6	158	0	40	0	0	0	6	0	1	2	2	0	2	7	120	41	0	1	13	0	0	0	0	59	0	0	0	0	0	0	0	0	21	22	104	24	2	0	342	1
