Rank	Taxonpath	Taxon	ERR1	ERR10	ERR11	ERR12	ERR13	ERR14	ERR15	ERR16	ERR17	ERR18	ERR19	ERR2	ERR20	ERR21	ERR22	ERR23	ERR24	ERR25	ERR26	ERR27	ERR28	ERR29	ERR3	ERR30	ERR31	ERR32	ERR33	ERR34	ERR35	ERR36	ERR37	ERR38	ERR39	ERR4	ERR40	ERR41	ERR42	ERR43	ERR44	ERR45	ERR46	ERR47	ERR48	ERR49	ERR5	ERR50	ERR6	ERR7	ERR8	ERR9
root	root	root	43.125	391.892857143	492.742718447	400.676056338	507.765625	375.5	341.086538462	282.511111111	293.592592593	393.460227273	212.009090909	33.45	226.051282051	201.0	124.515625	233.5625	232.897959184	274.421259843	420.889423077	308.757575758	193.441860465	296.428571429	215.066666667	324.480263158	282.649350649	306.568181818	142.12745098	196.11627907	185.414285714	169.902439024	160.235294118	144.25	100.223684211	152.568181818	162.444444444	103.920454545	200.140625	253.121212121	208.445945946	182.204545455	187.0	228.5078125	295.164473684	555.377358491	120.727272727	335.108208955	251.879032258	127.631578947	335.233766234	416.203448276
meta	Main genome	Main genome	41.2857142857	344.349056604	441.531578947	356.569230769	462.846456693	333.509090909	291.010869565	246.0125	253.041666667	346.558441558	192.948979592	33.45	198.470588235	194.296875	119.661290323	212.758064516	202.783783784	260.174796748	388.82	271.362903226	178.714285714	255.387931034	188.568965517	283.889705882	245.595588235	278.740740741	140.25	176.8125	171.080645161	153.878378378	137.0	126.027777778	93.6351351351	131.736842105	157.444444444	99.4069767442	172.666666667	232.336065574	185.117647059	168.1	172.017857143	211.075	264.64	515.487864078	95.9230769231	326.909090909	217.240384615	109.7	290.970588235	371.003623188
meta	Chloroplast	Chloroplast	2.0	44.0	46.1428571429	40.9	50.5	39.5	45.4	31.125	36.9	41.8888888889	19.3333333333	None	26.6	None	5.0	None	31.1666666667	14.5	31.5	36.5	20.0	40.0416666667	43.5	40.5714285714	37.0625	29.25	2.0	18.5	13.125	16.125	35.0	None	4.5	21.1666666667	None	6.0	27.5	20.9	23.5	14.25	15.25	18.0	51.5	44.1	25.3333333333	8.25	34.8	18.125	44.0	43.3333333333
meta	Mitochondria	Mitochondria	None	None	6.0	3.5	None	3.0	6.0	6.0	4.5	5.25	None	None	None	None	None	3.0	None	None	1.0	None	None	None	None	1.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	1.0	None	None	None	None	6.0
meta	No hits	No hits	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	1.0	None	1.0	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
domain	Main genome;Bacteria	Bacteria	41.2857142857	336.094339623	433.531578947	347.623076923	453.6	327.037037037	284.5	241.0125	246.260416667	341.558441558	192.948979592	33.45	188.333333333	192.345744681	119.661290323	208.564516129	202.783783784	260.174796748	384.163265306	262.814516129	177.011904762	251.827586207	188.568965517	273.798507463	240.298507463	276.490654206	140.25	176.8125	166.6	153.013888889	137.0	126.027777778	93.6351351351	131.736842105	157.444444444	99.4069767442	172.666666667	232.336065574	184.333333333	168.1	172.017857143	211.075	260.390410959	513.281553398	94.9230769231	322.984615385	217.240384615	108.133333333	282.940298507	363.722627737
domain	Main genome;Eukaryota	Eukaryota	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
domain	Main genome;Archaea	Archaea	None	None	None	None	8.0	7.0	7.0	None	None	None	None	None	11.0	2.0	None	None	None	None	5.0	None	None	None	None	11.0	5.5	2.5	None	None	4.5	1.0	None	None	None	None	None	None	None	None	1.0	None	None	None	4.25	None	None	4.0	None	None	9.0	7.5
domain	Chloroplast;Bacteria (Chloroplast)	Bacteria (Chloroplast)	2.0	44.0	46.1428571429	40.9	50.5	39.5	45.4	31.125	36.9	41.8888888889	19.3333333333	None	26.6	None	5.0	None	31.1666666667	14.5	31.5	36.5	20.0	40.0416666667	43.5	40.5714285714	37.0625	29.25	2.0	18.5	13.125	16.125	35.0	None	4.5	21.1666666667	None	6.0	27.5	20.9	23.5	14.25	15.25	18.0	51.5	44.1	25.3333333333	8.25	34.8	18.125	44.0	43.3333333333
domain	Mitochondria;Bacteria (Mitochondrion)	Bacteria (Mitochondrion)	None	None	6.0	3.5	None	3.0	6.0	6.0	4.5	5.25	None	None	None	None	None	3.0	None	None	1.0	None	None	None	None	1.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	1.0	None	None	None	None	6.0
