Rank	Taxonpath	Taxon	ERR1	ERR10	ERR11	ERR12	ERR13	ERR14	ERR15	ERR16	ERR17	ERR18	ERR19	ERR2	ERR20	ERR21	ERR22	ERR23	ERR24	ERR25	ERR26	ERR27	ERR28	ERR29	ERR3	ERR30	ERR31	ERR32	ERR33	ERR34	ERR35	ERR36	ERR37	ERR38	ERR39	ERR4	ERR40	ERR41	ERR42	ERR43	ERR44	ERR45	ERR46	ERR47	ERR48	ERR49	ERR5	ERR50	ERR6	ERR7	ERR8	ERR9
root	root	root	42	343	456	370	484	345	312	261	274	375	208	33	216	198	120	211	226	273	403	285	180	285	191	306	276	301	136	187	175	164	146	132	98	136	158	102	187	248	200	168	172	221	283	549	112	330	242	125	319	405
meta	Main genome	Main genome	40	302	407	327	443	305	269	227	238	329	190	33	190	192	115	193	195	259	372	252	168	246	172	269	241	274	134	169	161	149	129	118	92	119	153	98	162	228	178	156	157	205	256	511	91	322	208	107	278	363
meta	Chloroplast	Chloroplast	2	38	45	40	38	37	39	30	32	41	18	0	25	6	5	15	31	14	30	32	12	38	19	36	34	27	2	17	13	15	17	14	4	17	3	4	25	20	22	12	15	16	27	36	20	8	34	18	40	38
meta	Mitochondria	Mitochondria	0	3	4	3	3	3	4	4	4	5	0	0	1	0	0	3	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	4
meta	No hits	No hits	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
domain	Main genome;Bacteria	Bacteria	40	295	399	319	434	298	262	222	232	324	190	33	181	190	115	191	195	259	367	245	167	243	172	260	236	272	134	169	157	148	129	118	92	119	153	98	162	228	177	156	157	205	252	509	90	318	208	106	271	356
domain	Main genome;Eukaryota	Eukaryota	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
domain	Main genome;Archaea	Archaea	0	7	8	8	8	7	7	5	6	5	0	0	9	2	0	2	0	0	5	7	1	3	0	9	5	2	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	4	2	1	4	0	0	7	7
domain	Chloroplast;Bacteria (Chloroplast)	Bacteria (Chloroplast)	2	38	45	40	38	37	39	30	32	41	18	0	25	6	5	15	31	14	30	32	12	38	19	36	34	27	2	17	13	15	17	14	4	17	3	4	25	20	22	12	15	16	27	36	20	8	34	18	40	38
domain	Mitochondria;Bacteria (Mitochondrion)	Bacteria (Mitochondrion)	0	3	4	3	3	3	4	4	4	5	0	0	1	0	0	3	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	4
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	20	143	160	128	169	111	109	111	120	145	116	18	82	68	52	80	107	114	139	114	78	115	81	127	110	124	46	90	66	61	72	63	33	71	39	26	92	85	86	98	99	101	107	218	48	155	99	49	125	146
superkingdom	Main genome;Bacteria;Tenericutes	Tenericutes	0	0	0	0	1	0	0	0	0	0	0	0	0	4	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	1	3	2	0	3	0	0	0	1
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	3	12	19	15	21	14	11	5	5	9	6	0	8	8	10	8	9	20	15	9	9	7	9	8	10	5	9	8	6	8	5	6	10	2	6	8	4	9	6	4	2	6	14	10	1	2	15	4	12	8
superkingdom	Main genome;Bacteria;Bacteroidetes	Bacteroidetes	9	93	119	107	123	97	91	71	73	96	42	5	65	55	27	75	52	77	116	86	49	90	57	86	78	84	50	36	70	52	32	27	28	31	79	25	38	92	52	30	34	51	90	195	28	97	60	51	82	132
superkingdom	Main genome;Bacteria;Firmicutes	Firmicutes	8	1	1	0	0	0	0	2	1	2	1	8	0	0	0	2	4	13	0	0	4	1	1	0	0	1	8	7	0	0	0	0	0	1	6	8	0	1	0	0	0	8	2	5	0	3	2	0	0	3
superkingdom	Main genome;Bacteria;Spirochaetes	Spirochaetes	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	4	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
superkingdom	Main genome;Bacteria;Cyanobacteria	Cyanobacteria	0	1	1	1	1	1	1	1	1	1	5	0	1	1	1	2	6	4	1	2	5	1	6	2	7	3	7	5	3	6	8	8	1	6	1	8	7	10	7	7	6	5	3	2	4	5	4	1	4	1
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	0	24	29	26	34	22	20	14	17	22	7	1	7	3	0	17	8	4	37	12	6	13	7	12	13	14	3	10	7	10	10	10	8	4	17	5	16	12	17	10	9	14	9	23	3	7	9	1	20	35
superkingdom	Main genome;Bacteria;Epsilonbacteraeota	Epsilonbacteraeota	0	2	4	2	3	2	3	0	1	4	0	1	0	3	2	1	0	4	2	2	3	2	0	7	1	4	0	2	0	3	0	0	1	0	1	0	0	5	0	0	2	1	1	11	0	14	2	0	0	2
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2
superkingdom	Main genome;Bacteria;Chloroflexi	Chloroflexi	0	0	2	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Patescibacteria	Patescibacteria	0	1	3	4	6	1	1	2	0	3	0	0	0	17	3	0	1	5	1	1	0	0	0	0	0	4	3	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	3	6	0	8	0	0	2	4
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0	8	19	12	24	14	12	7	5	14	1	0	6	5	2	5	2	4	19	7	8	3	6	2	6	11	3	6	4	2	1	3	3	1	2	13	1	6	3	4	3	8	3	10	2	3	6	0	10	7
superkingdom	Main genome;Bacteria;Chlamydiae	Chlamydiae	0	1	1	0	0	2	1	1	1	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
superkingdom	Main genome;Bacteria;Gemmatimonadetes	Gemmatimonadetes	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Lentisphaerae	Lentisphaerae	0	1	2	1	2	4	1	1	1	2	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0
superkingdom	Main genome;Bacteria;Fusobacteria	Fusobacteria	0	0	1	0	0	0	1	0	1	3	0	0	0	1	0	0	0	1	2	4	1	1	0	3	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	5	0	0	0	4
