EventID,SampleID,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Protocol Label,MaterialSampleID,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Salinity,CTD_Conductivity,CTD_Fluorescence,CTD_Depth,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Ammonium,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Turbidity,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_DOC,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)_Picoplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (Oxygen),Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (respiration),ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD2_2019-06,OSD2_2019-06_NPL022_1,OSD2,2019-06-26T13:05:00Z,48.78,-3.94,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,RV Neomysis,1,NPL022,OSD2_2019-06_1_NPL022,OSD-Jun-2019,not provided,Hand pump,Hand pumping,few wind and foggy,4.00,50,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,14.16,35.21,,0.5163,1,1.3 μmol/l,0.14 μmol/l,0.18 μmol/l,1.6 μmol/l,0.96 μmol/l,7.882,5.94 ml/l,906 photons/m2/sec,,,,,,0.34 mg/m3,,,,,,,,SAMEA7422988,PRJEB40763,PRJEB40764,PRJEB40762
OSD4_2019-06,OSD4_2019-06_NPL022_1,OSD4,2019-06-21T10:20:00Z,40.81,14.25,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,not provided,0,NPL022,OSD4_2019-06_1_NPL022,OSD-Jun-2019,not provided,Niskin bottle,not provided,not provided,1.00,40,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,26.00,37.11,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422987,PRJEB40763,PRJEB40764,PRJEB40762
OSD14_2019-06,OSD14_2019-06_NPL022_1,OSD14,2019-06-24T09:45:00Z,42.48,3.14,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,not provided,3,NPL022,OSD14_2019-06_1_NPL022,OSD-Jun-2019,not provided,CTD probe Seabird 19 and 12L Niskin bottle,sampling and sterivex filtration,not provided,4.40,120,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,20.84,37.54,,,,,,,,0.057 μmol/l,7.99,5.455 ml/l,,,,,,,,,,,,,,,SAMEA7422986,PRJEB40763,PRJEB40764,PRJEB40762
OSD17_2019-06,OSD17_2019-06_NPL022_1,OSD17,2019-06-24T09:40:00Z,51.43,2.51,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stein,3,NPL022,OSD17_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,not provided,not provided,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422985,PRJEB40763,PRJEB40764,PRJEB40762
OSD18_2019-06,OSD18_2019-06_NPL022_1,OSD18,2019-06-21T08:30:00Z,35.36,33.30,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25196,RV Teal Jr,65,NPL022,OSD18_2019-06_1_NPL022,OSD-Jun-2019,not provided,"5L Niskin bottle, SBE 19Plus V2 Seacat Profiler","5 Liter Niskin Bottle deployed consecutively 6 times by winch to collect total of 32 liters sample water from 65 m of depth. Collected sample water simultaneously filtered through Stricup filters by using Vacuum Pumps, DNA isolated from filters.","Total DNA isolated: Filter 1: 5.3 ng/ul, last volume 100 ul. Filter 2: 12.73 ng/ul, last volume 100 ul.",17.00,115,PVDF Stericup 0.22μm 73mm 1000ml,particulate matter,no prefiltration,0.22,no treatment,-80,17.45,39.13,5.012746,0.2995,65,,,,,,8.065,7.3529,3.1526,0.4621,,,,,,,,,,,,,SAMEA7422984,PRJEB40763,PRJEB40764,PRJEB40762
OSD22_2019-06,OSD22_2019-06_NPL022_1,OSD22,2019-06-21T06:29:00Z,43.30,5.21,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,Research Boat - Antedon II,2,NPL022,OSD22_2019-06_1_NPL022,OSD-Jun-2019,prokaryotes diversity in the Bay of Marseille,3 x 18L Single Niskin bottle,not provided,not provided,5.00,35,Sterivex,not provided,not provided,0.22,no treatment,-80,20.36,38.30,51.98,,2,,,,,,,5.23 ml/l,,,,,,,,,,,,,,,SAMEA7422983,PRJEB40763,PRJEB40764,PRJEB40762
OSD24_2019-06,OSD24_2019-06_NPL022_1,OSD24,2019-06-21T11:47:00Z,35.19,-2.88,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25602,not provided,1,NPL022,OSD24_2019-06_1_NPL022,OSD-Jun-2019,not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation using a boat ,not provided,1.08,43,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,25.00,38.18,55.5 mS/cm,,,,,30-50,,,8.08,,,3.97 NTU,,,,,,,,,,,,,SAMEA7422982,PRJEB40763,PRJEB40764,PRJEB40762
OSD26_2019-06,OSD26_2019-06_NPL022_1,OSD26,2019-06-21T11:00:00Z,35.82,-5.75,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=8367,not provided,1,NPL022,OSD26_2019-06_1_NPL022,OSD-Jun-2019,not provided,5L bucket,the water was collected in a 5L buckets from the coastline,not provided,1.44,49,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,23.50,not provided,11.29 mS/cm,,1,,,30-50,,,8.12,,,5.98 NTU,,,,,,,,,,,,,SAMEA7422981,PRJEB40763,PRJEB40764,PRJEB40762
OSD39_2019-06,OSD39_2019-06_NPL022_1,OSD39,2019-06-21T10:39:00Z,32.75,-79.90,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18952,off cove by South Carolina Department at Natural Resources,1,NPL022,OSD39_2019-06_1_NPL022,OSD-Jun-2019,not provided,2L Nalgene bottle,Submerged under surface to fill the bottle by hand,Prokaryotic samples,1.00,376,Sterivex,particulate matter,not provided,0.22,no treatment,-80,28.01,21.13,33.81 mS/cm,,1,,,,,,7.77,6.72 mg/l,,,,,,,,,,,,,,,SAMEA7422980,PRJEB40763,PRJEB40764,PRJEB40762
OSD43_2019-06,OSD43_2019-06_NPL022_1,OSD43,2019-06-21T12:10:00Z,32.87,-117.26,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Pier with bucket,0,NPL022,OSD43_2019-06_1_NPL022,OSD-Jun-2019,not provided,Bucket (RNAse Away + Ethanol closed rihese 2x securelor),Pier wench,not provided,3.00,68,Sterivex,particulate matter,not provided,0.22,no treatment,-80,18.33,34.00,,,0,,,,,,,,,,,,,,,,,,,,,,SAMEA7422979,PRJEB40763,PRJEB40764,PRJEB40762
