EventID,SampleID,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Protocol Label,MaterialSampleID,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Salinity,CTD_Conductivity,CTD_Conductivity_flag,CTD_Fluorescence,CTD_Fluorescence_flag,CTD_Depth,CTD_Depth_flag,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_flag,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_pH_flag,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_DON_flag,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_POC_flag,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_PON_flag,Organic Matter Concentration (Amount or Mass)_DOC,Organic Matter Concentration (Amount or Mass)_DOC_flag,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)_Pigment concentrations_flag","Organism Concentration (Amount, Volume or Mass)_Picoplankton","Organism Concentration (Amount, Volume or Mass)_Picoplankton_flag","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton_flag","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton_flag",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (isotope uptake)_flag,Community Production Rate_Primary Production (Oxygen),Community Production Rate_Primary Production (Oxygen)_flag,Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (isotope uptake)_flag,Community Production Rate_Bacterial Production (respiration),Community Production Rate_Bacterial Production (respiration)_flag,ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD100_2019-06,OSD100_2019-06_NPL022_1,OSD100,2019-06-21T13:00:00Z,35.35,25.29,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,HCMR dinghy boat,not provided,NPL022,OSD100_2019-06_1_NPL022,OSD-Jun-2019,"surface water sampling (100lt), CTD cost, zooplankton net sampling",Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,not provided,not provided,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,5.8,,,,1,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422962,PRJEB40763,PRJEB40764,PRJEB40762
OSD122_2019-06,OSD122_2019-06_NPL022_1,OSD122,2019-06-20T07:55:00Z,29.46,34.93,marine pelagic biome [ENVO:01000023], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25384,self-propelled boat 48182,0,NPL022,OSD122_2019-06_1_NPL022,OSD-Jun-2019,sampling for Prokaryotes,25L Jerrycan,3 acid washed 25l Jerrycans were deployed by hand from a boat,"sampling done at open sea, on surface. Water depth at sampling location-700m. Local time UTC+2",4.3,64,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,27.62,40.9,63.8844 mS/cm,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422961,PRJEB40763,PRJEB40764,PRJEB40762
OSD14_2019-06,OSD14_2019-06_NPL022_1,OSD14,2019-06-24T09:45:00Z,42.48,3.14,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,not provided,3,NPL022,OSD14_2019-06_1_NPL022,OSD-Jun-2019,not provided,CTD probe Seabird 19 and 12L Niskin bottle,sampling and sterivex filtration,not provided,4.4,120,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,20.84,37.54,,,,,,,,,,,,,,,0.057 μmol/l,,7.99,,5.455 ml/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422986,PRJEB40763,PRJEB40764,PRJEB40762
OSD152_2019-06,OSD152_2019-06_NPL022_1,OSD152,2019-06-20T12:40:00Z,44.69,-63.64,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18822,CGS SIGMA T,1,NPL022,OSD152_2019-06_1_NPL022,OSD-Jun-2019,Compass Buoy STN (HLO) has been sampled weekly since 1992 as part of the Bedford Basin Monitoring Program,30L Niskin bottle,NISKIN deployed on cable winch,filtered with peristaltic pump,1.16,14,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,15,26.87,,,0.6871 μg/l,Given unit does not match required unit (volt).,1.7,,0.07 mg/l,Given unit does not match required unit (micromol/l).,,,,,,,,,7.04,,327.25 mol/m3,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422960,PRJEB40763,PRJEB40764,PRJEB40762
OSD153_2019-06,OSD153_2019-06_NPL022_1,OSD153,2019-06-07T10:30:00Z,37,-7.98,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2360,on shore,0,NPL022,OSD153_2019-06_1_NPL022,OSD-Jun-2019,not provided,not provided,not provided,not provided,1.46,not provided,not provided,not provided,not provided,0.22,no treatment,-80,19.1,35.07,,,,,0.2,,,,,,,,,,,,,,102%,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422959,PRJEB40763,PRJEB40764,PRJEB40762
OSD159_2019-06,OSD159_2019-06_NPL022_1,OSD159,2019-06-21T06:32:00Z,48.36,-4.55,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25220,Brest Somlit,2,NPL022,OSD159_2019-06_1_NPL022,OSD-Jun-2019,Prokaryotes sampling,8L Niskin bottle,not provided,not provided,3,30,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,15.22,34.94,43.077,,,,2,,0.023 μmol/l,,0.03 μmol/l,,,,3.10 μmol/l,,,,8.01,,,,348,,,,,,130.2 μg/l,,29.3 μg/l,,,,1.14 μg/l,Given unit does not match required unit (mg/m^3).,,,,,,,,,,,,,,,SAMEA7422958,PRJEB40763,PRJEB40764,PRJEB40762
OSD17_2019-06,OSD17_2019-06_NPL022_1,OSD17,2019-06-24T09:40:00Z,51.43,2.51,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stein,3,NPL022,OSD17_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,not provided,not provided,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422985,PRJEB40763,PRJEB40764,PRJEB40762
OSD170_2019-06,OSD170_2019-06_NPL022_1,OSD170,2019-06-24T07:20:00Z,51.27,2.85,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD170_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422957,PRJEB40763,PRJEB40764,PRJEB40762
OSD171_2019-06,OSD171_2019-06_NPL022_1,OSD171,2019-06-24T07:51:00Z,51.31,2.85,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD171_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422956,PRJEB40763,PRJEB40764,PRJEB40762
OSD172_2019-06,OSD172_2019-06_NPL022_1,OSD172,2019-06-24T12:33:00Z,51.37,3.21,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD172_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422955,PRJEB40763,PRJEB40764,PRJEB40762
