SiteID,eventID,sampleID,sampleID_ENA,BioSample,runID_16S,runID_18S,runID_MG
,event ID use in Data sheets,as used by us,sample id used in ENA,from ENA,run accession number for 16S amplicon sequences,run accession number for 18S amplicon sequences,run accession number for whole genome sequences
OSD238,OSD238_2019-06,OSD238_2019-06_NPL022_1,OSD238_2019-06_1_NPL022,SAMEA7422941,ERR4674643,ERR4674642,ERR4674641
OSD237,OSD237_2019-06,OSD237_2019-06_NPL022_1,OSD237_2019-06_1_NPL022,SAMEA7422942,ERR4674646,ERR4674645,ERR4674644
OSD232,OSD232_2019-06,OSD232_2019-06_NPL022_1,OSD232_2019-06_1_NPL022,SAMEA7422943,ERR4674648,ERR4674647,not provided
OSD227,OSD227_2019-06,OSD227_2019-06_NPL022_1,OSD227_2019-06_1_NPL022,SAMEA7422944,ERR4674651,ERR4674650,ERR4674649
OSD224,OSD224_2019-06,OSD224_2019-06_NPL022_1,OSD224_2019-06_1_NPL022,SAMEA7422945,ERR4674654,ERR4674653,ERR4674652
OSD223,OSD223_2019-06,OSD223_2019-06_NPL022_1,OSD223_2019-06_1_NPL022,SAMEA7422946,ERR4674657,ERR4674656,ERR4674655
OSD219,OSD219_2019-06,OSD219_2019-06_NPL022_1,OSD219_2019-06_1_NPL022,SAMEA7422947,ERR4674659,ERR4674658,not provided
OSD211,OSD211_2019-06,OSD211_2019-06_NPL022_1,OSD211_2019-06_1_NPL022,SAMEA7422948,ERR4674662,ERR4674661,ERR4674660
OSD210,OSD210_2019-06,OSD210_2019-06_NPL022_1,OSD210_2019-06_1_NPL022,SAMEA7422949,ERR4674665,ERR4674664,ERR4674663
OSD177,OSD177_2019-06,OSD177_2019-06_NPL022_1,OSD177_2019-06_1_NPL022,SAMEA7422950,ERR4674668,ERR4674667,ERR4674666
OSD176,OSD176_2019-06,OSD176_2019-06_NPL022_1,OSD176_2019-06_1_NPL022,SAMEA7422951,ERR4674671,ERR4674670,ERR4674669
OSD175,OSD175_2019-06,OSD175_2019-06_NPL022_1,OSD175_2019-06_1_NPL022,SAMEA7422952,ERR4674674,ERR4674673,ERR4674672
OSD174,OSD174_2019-06,OSD174_2019-06_NPL022_1,OSD174_2019-06_1_NPL022,SAMEA7422953,ERR4674677,ERR4674676,ERR4674675
OSD173,OSD173_2019-06,OSD173_2019-06_NPL022_1,OSD173_2019-06_1_NPL022,SAMEA7422954,ERR4674680,ERR4674679,ERR4674678
OSD172,OSD172_2019-06,OSD172_2019-06_NPL022_1,OSD172_2019-06_1_NPL022,SAMEA7422955,ERR4674683,ERR4674682,ERR4674681
OSD171,OSD171_2019-06,OSD171_2019-06_NPL022_1,OSD171_2019-06_1_NPL022,SAMEA7422956,ERR4674686,ERR4674685,ERR4674684
