Sample title,sample_description,taxon_id,sequencing_platform,library_strategy,library_source,library_selection,library_layout,indexing_layout,nominal_length,forward_read_file_name,forward_read_file_checksum,reverse_read_file_name,reverse_read_file_checksum,checksum_method,environmental package,Event Date/Time,Latitude Start,Longitude Start,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Site,Sampling Platform,Depth,Protocol Label,Temperature,Salinity,Sampling Campaign,SAMPLING_Investigators,SAMPLING_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity (L),SAMPLE_Filtration time (min),SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_Upper-Threshold,SAMPLE_Size-Fraction_Lower-Threshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage
OSD2_2019-06_1_NPL022,surface water sample from the Western English Channel,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD2-2019_S102_L001_R1_001.fastq.gz,9ab410e740276f49dd7f24c153e208683e14c034a9d15de61a432b80c1fe4e94,OSD2-2019_S102_L001_R2_001.fastq.gz,3a4482307884563d8fed1266bba4a3594f3d35ffeab170c3f60ed70301239732,SHA-256,water,2019-06-26T13:05:00Z/2019-06-26T13:25:00Z,48.78,-3.94,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,"OSD2, Roscoff Astan France",RV Neomysis,1,NPL022,14.16,35.21,OSD-Jun-2019,"JEANTHON, Christian/ GARCZAREK Laurence/ CARIOU Thierry, jeanthon@sb-roscoff.fr/garczare@sb-roscoff.fr/cariou@sb-roscoff.fr",not provided,Hand pump,Hand pumping,few wind and foggy,4.00,50,Sterivex,particulate matter,no prefiltration,0.22,none,-80
OSD2_2019-06_1_NPL022,,,,,,,,,180,OSD2-2019_S6_L001_R1_001.fastq.gz,672a32c867ceff20cb8e72e7a1c0bad9752e93f2cbc85b5f9b9d26854fd78ff1,OSD2-2019_S6_L001_R2_001.fastq.gz,5b4dffc801704697062199bbeeb82e3c540dbdb55f91cca4691ef69cbc74b786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD2_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_CEOSDA_2_1_HYLGGDSXX.12BA043_clean.fastq.gz,f46eaeb38f52a443b7768b5e604b2e33,CRC_CEOSDA_2_2_HYLGGDSXX.12BA043_clean.fastq.gz,5050ea783f344742f6b21b009097dd87,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD4_2019-06_1_NPL022,surface water sample from the Tyrrhenian Sea,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD4-2019_S103_L001_R1_001.fastq.gz,13bcb6aa9c07b84190e8493d4d5f88440992ab8636777e05ac5264a1c48ae5da,OSD4-2019_S103_L001_R2_001.fastq.gz,5e2994acf59c436c1a9878a3020df926298e072fec5a94c30e89581f3b2d40b1,SHA-256,water,2019-06-21T10:20:00Z/2019-06-21T14:30:00Z,40.81,14.25,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,"OSD4, LTER MC Naples Italy",not provided,0,NPL022,26.00,37.11,OSD-Jun-2019,"CASOTTI, Rafaella/ DONNARUMMA, Vincenzo, rafaella.casotti@szn.it/ vincenzo.dommarumma@szn.it, ",not provided,Niskin bottle,not provided,not provided,1.00,40,Sterivex,not provided,no prefiltration,0.22,none,-80
OSD4_2019-06_1_NPL022,,,,,,,,,180,OSD4-2019_S7_L001_R1_001.fastq.gz,e5cb102186136805239fa1d4316770ae86a771e781265b0d30d2f019059c093f,OSD4-2019_S7_L001_R2_001.fastq.gz,55248e3509c04058d00ba6a8c766eac1d0fbf0adf48ef90c948b7323a5aefe47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD4_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_CFOSDA_2_1_HYLGGDSXX.12BA055_clean.fastq.gz,15de2e42014bb38bae616e24dcd7e129,CRC_CFOSDA_2_2_HYLGGDSXX.12BA055_clean.fastq.gz,772f2ae92f6fae616587f890e5993562,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD14_2019-06_1_NPL022,surface water sample from the Mediterranean Sea,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD14-2019_S104_L001_R1_001.fastq.gz,dd58d48476cef6e39d10856cd0f0197066b793b8d0b7831c4f795109b18812e5,OSD14-2019_S104_L001_R2_001.fastq.gz,15811c062c6756346691b5ab2e708e8ce8def91740491df35b7b2279257ebc93,SHA-256,water,2019-06-24T09:45:00Z/2019-06-24T09:50:00Z,42.48,3.14,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,"OSD14, Banyuls sur Mer France",not provided,3,NPL022,20.84,37.54,OSD-Jun-2019,"CONAN, Pascal, conan@obs-banyuls.fr",not provided,CTD probe Seabird 19 and 12L Niskin bottle,sampling and sterivex filtration,not provided,4.40,120,Sterivex,not provided,no prefiltration,0.22,none,-80
OSD14_2019-06_1_NPL022,,,,,,,,,180,OSD14-2019_S8_L001_R1_001.fastq.gz,a1cdafb5de1a900e46a427e0eca099a8bee9a2b232f8516f78452e838f074a08,OSD14-2019_S8_L001_R2_001.fastq.gz,e4449f54ef83289f2d7cdfa011da841a351c70bdf47ff0615aa24c8f5170696f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD14_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_CGOSDA_4_1_HYLGGDSXX.12BA117_clean.fastq.gz,da5457764afcfbae5401428d59d388fd,CRC_CGOSDA_4_2_HYLGGDSXX.12BA117_clean.fastq.gz,ee82f740af262fe47babad64b71fcb13,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD17_2019-06_1_NPL022,surface water sample from the North Sea,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD17-2019_S105_L001_R1_001.fastq.gz,f3730030bd2d5fa905fab2a4c9d7d929bfc2881dd80047f6a04de026c217a157,OSD17-2019_S105_L001_R2_001.fastq.gz,03a830347c1bb7b3faba437930bb949d0b8dc30a5a12d3ea7bea16184658b592,SHA-256,water,2019-06-24T09:40:00Z/2019-06-24T09:42:00Z ,51.43,2.51,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,"OSD17, Oostende Belgium",RV Simon Stein,3,NPL022,not provided,not provided,OSD-Jun-2019,"MORTELMANS, Jonas, /jonas.mortelmans@vliz.be",LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,not provided,not provided,0.22,none,-80
OSD17_2019-06_1_NPL022,,,,,,,,,180,OSD17-2019_S9_L001_R1_001.fastq.gz,35ad99de08064a5820c6e6cb4505d4bc78db6d099fd52941e4da21ab3fda665a,OSD17-2019_S9_L001_R2_001.fastq.gz,a133d59b140e696e1ad8b4d4b1d8c06ae3fe1423c1c9c92e82f70932c4255e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD17_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_CHOSDA_2_1_HYLGGDSXX.12BA067_clean.fastq.gz,bd10368c6c85f9ef5d7fca0d96b2f972,CRC_CHOSDA_2_2_HYLGGDSXX.12BA067_clean.fastq.gz,4dd603613636bc5aedab32b54b7fb40f,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD18_2019-06_1_NPL022,water sample from the Eastern Mediterranean Sea,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD18-2019_S106_L001_R1_001.fastq.gz,c42ea43700990a60581c698309e43a8acaf2ebb25602fd235396af26f247444c,OSD18-2019_S106_L001_R2_001.fastq.gz,5a3866c9c32c6eab179ee130e36c1ff9fd57853055524944e7c5d8d72b259bc8,SHA-256,water,2019-06-21T08:30:00Z/2019-06-21T09:30:00Z,35.36,33.30,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25196,"OSD18, Kyrenia Cyprus",RV Teal Jr,65,NPL022,17.45,39.13,OSD-Jun-2019,"SALIHOGLU, Ilkay/ SERAKINCI, Nedime, ilkay.salihoglu@kyrenia.edu.tr/nedime.serakinci@neu.edu.tr",not provided,"5L Niskin bottle, SBE 19Plus V2 Seacat Profiler","5 Liter Niskin Bottle deployed consecutively 6 times by winch to collect total of 32 liters sample water from 65 m of depth. Collected sample water simultaneously filtered through Stricup filters by using Vacuum Pumps, DNA isolated from filters.","Total DNA isolated:
Filter 1: 5.3 ng/ul, last volume 100 ul.
Filter 2: 12.73 ng/ul, last volume 100 ul.",17.00,115,PVDF Stericup 0.22μm 73mm 1000ml,particulate matter,no prefiltration,0.22,none,-80
OSD18_2019-06_1_NPL022,,,,,,,,,180,OSD18-2019_S10_L001_R1_001.fastq.gz,ba31bab3e248c6505ce2a97d98b896e2bc69bc8e55e036ea39c9af30e9285eeb,OSD18-2019_S10_L001_R2_001.fastq.gz,2315ff63fa4883f4aeff10d64dbcd6b5a54a63c909a116a16c20597f51889509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD18_2019-06_1_NPL022,,,NovaSeq 6000,WGS,,RANDOM,,PCR-plus single index,376,CRC_CIOSDA_2_1_HYLGGDSXX.12BA079_clean.fastq.gz,dbbfdacc0bd3842544521f63683c14c2,CRC_CIOSDA_2_2_HYLGGDSXX.12BA079_clean.fastq.gz,b70de17bb1eee1e228fc922bc0cd6507,Md5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD22_2019-06_1_NPL022,surface water sample from the Bay of Marseille,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=408172,Illumina_MiSeq,AMPLICON,METAGENOMIC,PCR,paired,Two-step PCR Nextera XT CDI,460,OSD22-2019_S107_L001_R1_001.fastq.gz,db44389576d977234835cf85dbdd0d3dc694030ee2a0ddcfac0c6896cf9dbe6e,OSD22-2019_S107_L001_R2_001.fastq.gz,87cc9f5b16ed1131b0cc80405c70b7d3fa18d17e8e40800877a3002fe0b17a15,SHA-256,water,2019-06-21T06:29:00Z/2019-06-21T12:30:00Z,43.30,5.21,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,"OSD22, Marseille Somlit France",Research Boat - Antedon II,2,NPL022,20.36,38.30,OSD-Jun-2019,"GREGORI, Gerald/VERNETTE, Caroline, gerald.gregon@univ_aino.fr/caroline.vesnette@mio.osypytheas.fr",prokaryotes diversity in the Bay of Marseille,3 x 18L Single Niskin bottle,not provided,not provided,5.00,35,Sterivex,not provided,not provided,0.22,none,-80
OSD22_2019-06_1_NPL022,,,,,,,,,180,OSD22-2019_S11_L001_R1_001.fastq.gz,1e47e98c9ee454e93feeb25e7a370d1632e80e16dbaa26c9121726e117d124b1,OSD22-2019_S11_L001_R2_001.fastq.gz,84db0a774d18acd515708958c445738ac5cd0c70c22403695c5744040f8b9e28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
