Sample title,CTD_Conductivity,CTD_Fluorescence (volts),CTD_ Depth (m),Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Ammonium,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Turbidity,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_DOC,Pigments_Chlorophyll_a,Pigments_Chlorophyll_b,Pigments _Chlorophyll_c1,Pigments_Chlorophyll_c2,Pigments_ Chlorophyllide_a,Pigments_ Diadinoxanthin,Pigments_Diatoxanthin,Pigments_Fucoxanthin,Pigments _Neoxanthin,Pigments_Peridinin,Pigments _Pheophorbide_a,Pigments_ Prasinoxanthin,Pigments _ Zeaxanthin,Secchi > Secchi_Depth,SPM > SPM,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)__Picoplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplakton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (Oxygen),Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (respiration),Community Production Rate_DN15‰,Community Production Rate_DC13‰,Community Production Rate_Dissolved inorganic carbon,Community Production Rate_Total alkalinity,Community Production Rate_suspended material,Community Production Rate_bacteria abundance
OSD2_2019-06_1_NPL022,,0.5163,1,1.3 μmol/l,0.14 μmol/l,0.18 μmol/l,1.6 μmol/l,0.96 μmol/l,7.882,5.94 ml/l,906 photons/m2/sec,,,,,,,,,,,,,,,,0.33μg/l,,,,,0.34 mg/m3,,,,,,,,,,,,,
OSD4_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD14_2019-06_1_NPL022,,,,,,,,0.057μmol/l,7.99,5.455 ml/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD17_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD18_2019-06_1_NPL022,5.012746,0.2995,65,,,,,,8.065,7.3529,3.1526,0.4621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD22_2019-06_1_NPL022,51.98,,2,,,,,,,5.23 ml/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD24_2019-06_1_NPL022,55.5 mS/cm,,,,,30-50,,,8.08,,,3.97 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD26_2019-06_1_NPL022,11.29 mS/cm,,1,,,30-50,,,8.12,,,5.98 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD39_2019-06_1_NPL022,33.81 mS/cm,,1,,,,,,7.77,6.72 mg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD43_2019-06_1_NPL022,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD47_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD48_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD49_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD54_2019-06_1_NPL022,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD55_2019-06_1_NPL022,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD60_2019-06_1_NPL022,52.6 mS/cm,,1,,,,,,7.82,6.68 mg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD63_2019-06_1_NPL022,49.50284601 mS/cm,,,,,,,,,,,,25.47294487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD69_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD70_2019-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
