Sample title,CTD_Conductivity,CTD_Fluorescence (volts),CTD_ Depth (m),Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Ammonium,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Turbidity,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_DOC,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)__Picoplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplakton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (Oxygen),Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (respiration)
OSD2_2019-06_1_NPL022,not provided,0.516,1,1.3,0.14,0.18,1.6,0.96,7.882,5.94,0.9,not provided,not provided,not provided,not provided,not provided,0.34,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD4_2019-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD14_2019-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,0.057,7.99,5.45,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD17_2019-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD22_2019-06_1_NPL022,51.98,not provided,2,not provided,not provided,not provided,not provided,not provided,not provided,5.23,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD24_2019-06_1_NPL022,55.5,not provided,not provided,not provided,not provided,not provided,not provided,not provided,8.08,not provided,not provided,3.97,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD26_2019-06_1_NPL022,11.29,not provided,1,not provided,not provided,not provided,not provided,not provided,8.12,not provided,not provided,5.98,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD39_2019-06_1_NPL022,33.81,not provided,1,not provided,not provided,not provided,not provided,not provided,7.77,6.72,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD43_2019-06_1_NPL022,not provided,not provided,0,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD47_2019-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
