To be published,MaterialSampleID,EventID,CTD_Conductivity,CTD_Conductivity_flag,CTD_Fluorescence,CTD_Fluorescence_flag,CTD_Depth,CTD_Depth_flag,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_flag,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_pH_flag,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_DON_flag,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_POC_flag,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_PON_flag,Organic Matter Concentration (Amount or Mass)_DOC,Organic Matter Concentration (Amount or Mass)_DOC_flag,Pigments_Chlorophyll_a,Pigments_Chlorophyll_a_flag,Pigments_Chlorophyll_b,Pigments_Chlorophyll_b_flag,Pigments_Chlorophyll_c1,Pigments_Chlorophyll_c1_flag,Pigments_Chlorophyll_c2,Pigments_Chlorophyll_c2_flag,Pigments_Chlorophyllide_a,Pigments_Chlorophyllide_a_flag,Pigments_Diadinoxanthin,Pigments_Diadinoxanthin_flag,Pigments_Diatoxanthin,Pigments_Diatoxanthin_flag,Pigments_Fucoxanthin,Pigments_Fucoxanthin_flag,Pigments_Neoxanthin,Pigments_Neoxanthin_flag,Pigments_Peridinin,Pigments_Peridinin_flag,Pigments_Pheophorbide_a,Pigments_Pheophorbide_a_flag,Pigments_Prasinoxanthin,Pigments_Prasinoxanthin_flag,Pigments_Zeaxanthin,Pigments_Zeaxanthin_flag,Secchi_Depth,Secchi_Depth_flag,SPM,SPM_flag,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)_Pigment concentrations_flag","Organism Concentration (Amount, Volume or Mass)_Picoplankton","Organism Concentration (Amount, Volume or Mass)_Picoplankton_flag","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton_flag","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton_flag",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (isotope uptake)_flag,Community Production Rate_Primary Production (Oxygen),Community Production Rate_Primary Production (Oxygen)_flag,Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (isotope uptake)_flag,Community Production Rate_Bacterial Production (respiration),Community Production Rate_Bacterial Production (respiration)_flag,Community Production Rate_DN15perc,Community Production Rate_DN15perc_flag,Community Production Rate_DC13perc,Community Production Rate_DC13perc_flag,Community Production Rate_Dissolved inorganic carbon,Community Production Rate_Dissolved inorganic carbon_flag,Community Production Rate_Total alkalinity,Community Production Rate_Total alkalinity_flag,Community Production Rate_suspended material,Community Production Rate_suspended material_flag,Community Production Rate_bacteria abundance,Community Production Rate_bacteria abundance_flag
1,OSD100_2019-06_1_NPL022,OSD100_2019-06,5.8,,,,1,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD122_2019-06_1_NPL022,OSD122_2019-06,63.8844,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD14_2019-06_1_NPL022,OSD14_2019-06,,,,,,,,,,,,,,,0.057 micromol/l,,7.99,,5.455 ml/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD152_2019-06_1_NPL022,OSD152_2019-06,,,0.6871 microg/l,Given unit does not match required unit (volt).,1.7,,0.07 mg/l,Given unit does not match required unit (micromol/l).,,,,,,,,,7.04,,327.25 mol/m3,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD153_2019-06_1_NPL022,OSD153_2019-06,,,,,0.2,,,,,,,,,,,,,,102%,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD159_2019-06_1_NPL022,OSD159_2019-06,43.077,,,,2,,0.023 micromol/l,,0.03 micromol/l,,,,3.10 micromol/l,,,,8.01,,,,348,,,,,,130.2 microg/l,,29.3 microg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14 microg/l,Given unit does not match required unit (mg/m^3).,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD17_2019-06_1_NPL022,OSD17_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD170_2019-06_1_NPL022,OSD170_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD171_2019-06_1_NPL022,OSD171_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD172_2019-06_1_NPL022,OSD172_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD173_2019-06_1_NPL022,OSD173_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD174_2019-06_1_NPL022,OSD174_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
