To be published,EventID,Event Date/Time,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,SiteID,Sampling Platform,Depth,Protocol Label,Temperature,Salinity,Sampling Campaign,SAMPLE_Investigators,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage
1,OSD100_2019-06,2019-06-21T13:00:00Z/2018-06-21T14:00:00Z,2019-06-21T13:00:00Z,35.35,25.29,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,OSD100,HCMR dinghy boat,not provided,NPL022,not provided,not provided,OSD-Jun-2019,"KRISTALLAS, Apostolos/ DARIVIANAKIS, Stelios/ MAIDANOU, Maria, Hellenic Centre for Marine Research, kristallas@hcmr.gr/ daris@hcmr.gr/ mariam@hcmr.gr","surface water sampling (100lt), CTD cost, zooplankton net sampling",Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,not provided,not provided,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD122_2019-06,2019-06-20T07:55:00Z/2019-06-20T12:20:00Z,2019-06-20T07:55:00Z,29.46,34.93,marine pelagic biome [ENVO:01000023], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25384,OSD122,self-propelled boat 48182,0,NPL022,27.62,40.90,OSD-Jun-2019,"FRADA, Miguel/ KOPLOVITZ, Gil/ KEUTER Sabine, The InterUniversity Institute for Marine Sciences in Eilat, miguel.frada@mail.huji.ac.il/ gil.koplovitz@mail.huji.ac.il/ sabine.keuter@mail.huji.ac.il",sampling for Prokaryotes,25L Jerrycan,3 acid washed 25l Jerrycans were deployed by hand from a boat,"sampling done at open sea, on surface. Water depth at sampling location-700m. Local time UTC+2",4.30,64,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD14_2019-06,2019-06-24T09:45:00Z/2019-06-24T09:50:00Z,2019-06-24T09:45:00Z,42.48,3.14,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,OSD14,not provided,3,NPL022,20.84,37.54,OSD-Jun-2019,"CONAN, Pascal, conan@obs-banyuls.fr",not provided,CTD probe Seabird 19 and 12L Niskin bottle,sampling and sterivex filtration,not provided,4.40,120,Sterivex,not provided,no prefiltration,0.22,no treatment,-80
1,OSD152_2019-06,2019-06-20T12:40:00Z/2019-06-20T12:45:00Z,2019-06-20T12:40:00Z,44.69,-63.64,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18822,OSD152,CGS SIGMA T,1,NPL022,15.00,26.87,OSD-Jun-2019,"TOLMAN, Jennifer/ LAROCHE, Julie, Dalhousie University, j.tolman@dal.ca/ julie.laroche@dal.ca",Compass Buoy STN (HLO) has been sampled weekly since 1992 as part of the Bedford Basin Monitoring Program,30L Niskin bottle,NISKIN deployed on cable winch,filtered with peristaltic pump,1.16,14,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD153_2019-06,2019-06-07T10:30:00Z/2019-06-21T10:35:00Z,2019-06-07T10:30:00Z,37.00,-7.98,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2360,OSD153,on shore,0,NPL022,19.10,35.07,OSD-Jun-2019,"COSTA, Rodrigo/ VALENTE Sara/ SILVA Sandra, Instituto Superior Técnico (IST), University of Lisbon, rodrigoscosta@technico.ulisboa.pt",not provided,not provided,not provided,not provided,1.46,not provided,not provided,not provided,not provided,0.22,no treatment,-80
1,OSD159_2019-06,2019-06-21T06:32:00Z/2019-06-21T07:30:00Z,2019-06-21T06:32:00Z,48.36,-4.55,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25220,OSD159,Brest Somlit,2,NPL022,15.22,34.94,OSD-Jun-2019,"L'HARIDON, Stephane, Centre Nationale Recherche Scientific, stephane.lharidon@univ-brest.fr",Prokaryotes sampling,8L Niskin bottle,not provided,not provided,3.00,30,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD17_2019-06,2019-06-24T09:40:00Z/2019-06-24T09:42:00Z ,2019-06-24T09:40:00Z,51.43,2.51,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD17,RV Simon Stein,3,NPL022,not provided,not provided,OSD-Jun-2019,"MORTELMANS, Jonas, /jonas.mortelmans@vliz.be",LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,not provided,not provided,0.22,no treatment,-80
1,OSD170_2019-06,2019-06-24T07:20:00Z/2019-06-24T07:22:00Z,2019-06-24T07:20:00Z,51.27,2.85,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD170,RV Simon Stevin,3,NPL022,not provided,not provided,OSD-Jun-2019,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80
1,OSD171_2019-06,2019-06-24T07:51:00Z/2019-06-24T07:53:00Z,2019-06-24T07:51:00Z,51.31,2.85,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD171,RV Simon Stevin,3,NPL022,not provided,not provided,OSD-Jun-2019,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80
1,OSD172_2019-06,2019-06-24T12:33:00Z/2019-06-24T12:35:00Z,2019-06-24T12:33:00Z,51.37,3.21,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD172,RV Simon Stevin,3,NPL022,not provided,not provided,OSD-Jun-2019,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80
