runId,experimentId,studyId,BioStudyId,sampleId,BioSampleId
ERR4674643,ERX4596619,ERP124431,PRJEB40762,ERS5181290,SAMEA7422941
ERR4674646,ERX4596622,ERP124431,PRJEB40762,ERS5181291,SAMEA7422942
ERR4674648,ERX4596624,ERP124431,PRJEB40762,ERS5181292,SAMEA7422943
ERR4674651,ERX4596627,ERP124431,PRJEB40762,ERS5181293,SAMEA7422944
ERR4674654,ERX4596630,ERP124431,PRJEB40762,ERS5181294,SAMEA7422945
ERR4674657,ERX4596633,ERP124431,PRJEB40762,ERS5181295,SAMEA7422946
ERR4674659,ERX4596635,ERP124431,PRJEB40762,ERS5181296,SAMEA7422947
ERR4674662,ERX4596638,ERP124431,PRJEB40762,ERS5181297,SAMEA7422948
ERR4674665,ERX4596641,ERP124431,PRJEB40762,ERS5181298,SAMEA7422949
ERR4674668,ERX4596644,ERP124431,PRJEB40762,ERS5181299,SAMEA7422950
ERR4674671,ERX4596647,ERP124431,PRJEB40762,ERS5181300,SAMEA7422951
ERR4674674,ERX4596650,ERP124431,PRJEB40762,ERS5181301,SAMEA7422952
ERR4674677,ERX4596653,ERP124431,PRJEB40762,ERS5181302,SAMEA7422953
ERR4674680,ERX4596656,ERP124431,PRJEB40762,ERS5181303,SAMEA7422954
ERR4674683,ERX4596659,ERP124431,PRJEB40762,ERS5181304,SAMEA7422955
ERR4674686,ERX4596662,ERP124431,PRJEB40762,ERS5181305,SAMEA7422956
ERR4674689,ERX4596665,ERP124431,PRJEB40762,ERS5181306,SAMEA7422957
ERR4674692,ERX4596668,ERP124431,PRJEB40762,ERS5181307,SAMEA7422958
ERR4674695,ERX4596671,ERP124431,PRJEB40762,ERS5181308,SAMEA7422959
ERR4674698,ERX4596674,ERP124431,PRJEB40762,ERS5181309,SAMEA7422960
ERR4674701,ERX4596677,ERP124431,PRJEB40762,ERS5181310,SAMEA7422961
ERR4674704,ERX4596680,ERP124431,PRJEB40762,ERS5181311,SAMEA7422962
ERR4674707,ERX4596683,ERP124431,PRJEB40762,ERS5181312,SAMEA7422963
ERR4674710,ERX4596686,ERP124431,PRJEB40762,ERS5181313,SAMEA7422964
ERR4674713,ERX4596689,ERP124431,PRJEB40762,ERS5181314,SAMEA7422965
ERR4674716,ERX4596692,ERP124431,PRJEB40762,ERS5181315,SAMEA7422966
ERR4674719,ERX4596695,ERP124431,PRJEB40762,ERS5181316,SAMEA7422967
ERR4674722,ERX4596698,ERP124431,PRJEB40762,ERS5181317,SAMEA7422968
ERR4674725,ERX4596701,ERP124431,PRJEB40762,ERS5181318,SAMEA7422969
ERR4674728,ERX4596704,ERP124431,PRJEB40762,ERS5181319,SAMEA7422970
ERR4674731,ERX4596707,ERP124431,PRJEB40762,ERS5181320,SAMEA7422971
ERR4674734,ERX4596710,ERP124431,PRJEB40762,ERS5181321,SAMEA7422972
ERR4674737,ERX4596713,ERP124431,PRJEB40762,ERS5181322,SAMEA7422973
ERR4674740,ERX4596716,ERP124431,PRJEB40762,ERS5181323,SAMEA7422974
ERR4674742,ERX4596718,ERP124431,PRJEB40762,ERS5181324,SAMEA7422975
ERR4674745,ERX4596721,ERP124431,PRJEB40762,ERS5181325,SAMEA7422976
ERR4674748,ERX4596724,ERP124431,PRJEB40762,ERS5181326,SAMEA7422977
ERR4674751,ERX4596727,ERP124431,PRJEB40762,ERS5181327,SAMEA7422978
ERR4674754,ERX4596730,ERP124431,PRJEB40762,ERS5181328,SAMEA7422979
ERR4674757,ERX4596733,ERP124431,PRJEB40762,ERS5181329,SAMEA7422980
ERR4674760,ERX4596736,ERP124431,PRJEB40762,ERS5181330,SAMEA7422981
ERR4674763,ERX4596739,ERP124431,PRJEB40762,ERS5181331,SAMEA7422982
ERR4674766,ERX4596742,ERP124431,PRJEB40762,ERS5181332,SAMEA7422983
ERR4674769,ERX4596745,ERP124431,PRJEB40762,ERS5181333,SAMEA7422984
ERR4674772,ERX4596748,ERP124431,PRJEB40762,ERS5181334,SAMEA7422985
ERR4674775,ERX4596751,ERP124431,PRJEB40762,ERS5181335,SAMEA7422986
ERR4674778,ERX4596754,ERP124431,PRJEB40762,ERS5181336,SAMEA7422987
ERR4674781,ERX4596757,ERP124431,PRJEB40762,ERS5181337,SAMEA7422988
