runId,experimentId,studyId,BioStudyId,sampleId,BioSampleId
ERR4674641,ERX4596617,ERP124433,PRJEB40764,ERS5181290,SAMEA7422941
ERR4674644,ERX4596620,ERP124433,PRJEB40764,ERS5181291,SAMEA7422942
ERR4674649,ERX4596625,ERP124433,PRJEB40764,ERS5181293,SAMEA7422944
ERR4674652,ERX4596628,ERP124433,PRJEB40764,ERS5181294,SAMEA7422945
ERR4674655,ERX4596631,ERP124433,PRJEB40764,ERS5181295,SAMEA7422946
ERR4674660,ERX4596636,ERP124433,PRJEB40764,ERS5181297,SAMEA7422948
ERR4674663,ERX4596639,ERP124433,PRJEB40764,ERS5181298,SAMEA7422949
ERR4674666,ERX4596642,ERP124433,PRJEB40764,ERS5181299,SAMEA7422950
ERR4674669,ERX4596645,ERP124433,PRJEB40764,ERS5181300,SAMEA7422951
ERR4674672,ERX4596648,ERP124433,PRJEB40764,ERS5181301,SAMEA7422952
ERR4674675,ERX4596651,ERP124433,PRJEB40764,ERS5181302,SAMEA7422953
ERR4674678,ERX4596654,ERP124433,PRJEB40764,ERS5181303,SAMEA7422954
ERR4674681,ERX4596657,ERP124433,PRJEB40764,ERS5181304,SAMEA7422955
ERR4674684,ERX4596660,ERP124433,PRJEB40764,ERS5181305,SAMEA7422956
ERR4674687,ERX4596663,ERP124433,PRJEB40764,ERS5181306,SAMEA7422957
ERR4674690,ERX4596666,ERP124433,PRJEB40764,ERS5181307,SAMEA7422958
ERR4674693,ERX4596669,ERP124433,PRJEB40764,ERS5181308,SAMEA7422959
ERR4674696,ERX4596672,ERP124433,PRJEB40764,ERS5181309,SAMEA7422960
ERR4674699,ERX4596675,ERP124433,PRJEB40764,ERS5181310,SAMEA7422961
ERR4674702,ERX4596678,ERP124433,PRJEB40764,ERS5181311,SAMEA7422962
ERR4674705,ERX4596681,ERP124433,PRJEB40764,ERS5181312,SAMEA7422963
ERR4674708,ERX4596684,ERP124433,PRJEB40764,ERS5181313,SAMEA7422964
ERR4674711,ERX4596687,ERP124433,PRJEB40764,ERS5181314,SAMEA7422965
ERR4674714,ERX4596690,ERP124433,PRJEB40764,ERS5181315,SAMEA7422966
ERR4674717,ERX4596693,ERP124433,PRJEB40764,ERS5181316,SAMEA7422967
ERR4674720,ERX4596696,ERP124433,PRJEB40764,ERS5181317,SAMEA7422968
ERR4674723,ERX4596699,ERP124433,PRJEB40764,ERS5181318,SAMEA7422969
ERR4674726,ERX4596702,ERP124433,PRJEB40764,ERS5181319,SAMEA7422970
ERR4674729,ERX4596705,ERP124433,PRJEB40764,ERS5181320,SAMEA7422971
ERR4674732,ERX4596708,ERP124433,PRJEB40764,ERS5181321,SAMEA7422972
ERR4674735,ERX4596711,ERP124433,PRJEB40764,ERS5181322,SAMEA7422973
ERR4674738,ERX4596714,ERP124433,PRJEB40764,ERS5181323,SAMEA7422974
ERR4674743,ERX4596719,ERP124433,PRJEB40764,ERS5181325,SAMEA7422976
ERR4674746,ERX4596722,ERP124433,PRJEB40764,ERS5181326,SAMEA7422977
ERR4674749,ERX4596725,ERP124433,PRJEB40764,ERS5181327,SAMEA7422978
ERR4674752,ERX4596728,ERP124433,PRJEB40764,ERS5181328,SAMEA7422979
ERR4674755,ERX4596731,ERP124433,PRJEB40764,ERS5181329,SAMEA7422980
ERR4674758,ERX4596734,ERP124433,PRJEB40764,ERS5181330,SAMEA7422981
ERR4674761,ERX4596737,ERP124433,PRJEB40764,ERS5181331,SAMEA7422982
ERR4674764,ERX4596740,ERP124433,PRJEB40764,ERS5181332,SAMEA7422983
ERR4674767,ERX4596743,ERP124433,PRJEB40764,ERS5181333,SAMEA7422984
ERR4674770,ERX4596746,ERP124433,PRJEB40764,ERS5181334,SAMEA7422985
ERR4674773,ERX4596749,ERP124433,PRJEB40764,ERS5181335,SAMEA7422986
ERR4674776,ERX4596752,ERP124433,PRJEB40764,ERS5181336,SAMEA7422987
ERR4674779,ERX4596755,ERP124433,PRJEB40764,ERS5181337,SAMEA7422988
