SiteID,eventID,sampleID,sampleID_ENA,BioSample,runID_16S,BioprojectID_16S,runID_18S,BioprojectID_18S,runID_MG,BioprojectID_MG
,event ID use in Data sheets,as used by us,sample id used in ENA,from ENA,run accession number for 16S amplicon sequences,from ENA,run accession number for 18S amplicon sequences,from ENA,run accession number for whole genome sequences,from ENA
OSD238,OSD238_2019-06,OSD238_2019-06_NPL022_1,OSD238_2019-06_1_NPL022,SAMEA7422941,ERR4674643,PRJEB40762,ERR10176007,PRJEB56005,ERR4674641,PRJEB40764
OSD237,OSD237_2019-06,OSD237_2019-06_NPL022_1,OSD237_2019-06_1_NPL022,SAMEA7422942,ERR4674646,PRJEB40762,ERR10176008,PRJEB56005,ERR4674644,PRJEB40764
OSD232,OSD232_2019-06,OSD232_2019-06_NPL022_1,OSD232_2019-06_1_NPL022,SAMEA7422943,ERR4674648,PRJEB40762,ERR10176009,PRJEB56005,not provided,not provided
OSD227,OSD227_2019-06,OSD227_2019-06_NPL022_1,OSD227_2019-06_1_NPL022,SAMEA7422944,ERR4674651,PRJEB40762,ERR10176010,PRJEB56005,ERR4674649,PRJEB40764
OSD224,OSD224_2019-06,OSD224_2019-06_NPL022_1,OSD224_2019-06_1_NPL022,SAMEA7422945,ERR4674654,PRJEB40762,ERR10176011,PRJEB56005,ERR4674652,PRJEB40764
OSD223,OSD223_2019-06,OSD223_2019-06_NPL022_1,OSD223_2019-06_1_NPL022,SAMEA7422946,ERR4674657,PRJEB40762,ERR10176012,PRJEB56005,ERR4674655,PRJEB40764
OSD219,OSD219_2019-06,OSD219_2019-06_NPL022_1,OSD219_2019-06_1_NPL022,SAMEA7422947,ERR4674659,PRJEB40762,ERR10176013,PRJEB56005,not provided,not provided
OSD211,OSD211_2019-06,OSD211_2019-06_NPL022_1,OSD211_2019-06_1_NPL022,SAMEA7422948,ERR4674662,PRJEB40762,ERR10176014,PRJEB56005,ERR4674660,PRJEB40764
OSD210,OSD210_2019-06,OSD210_2019-06_NPL022_1,OSD210_2019-06_1_NPL022,SAMEA7422949,ERR4674665,PRJEB40762,ERR10176015,PRJEB56005,ERR4674663,PRJEB40764
OSD177,OSD177_2019-06,OSD177_2019-06_NPL022_1,OSD177_2019-06_1_NPL022,SAMEA7422950,ERR4674668,PRJEB40762,ERR10176016,PRJEB56005,ERR4674666,PRJEB40764
OSD176,OSD176_2019-06,OSD176_2019-06_NPL022_1,OSD176_2019-06_1_NPL022,SAMEA7422951,ERR4674671,PRJEB40762,ERR10176017,PRJEB56005,ERR4674669,PRJEB40764
OSD175,OSD175_2019-06,OSD175_2019-06_NPL022_1,OSD175_2019-06_1_NPL022,SAMEA7422952,ERR4674674,PRJEB40762,ERR10176018,PRJEB56005,ERR4674672,PRJEB40764
OSD174,OSD174_2019-06,OSD174_2019-06_NPL022_1,OSD174_2019-06_1_NPL022,SAMEA7422953,ERR4674677,PRJEB40762,ERR10176019,PRJEB56005,ERR4674675,PRJEB40764
OSD173,OSD173_2019-06,OSD173_2019-06_NPL022_1,OSD173_2019-06_1_NPL022,SAMEA7422954,ERR4674680,PRJEB40762,ERR10176020,PRJEB56005,ERR4674678,PRJEB40764
OSD172,OSD172_2019-06,OSD172_2019-06_NPL022_1,OSD172_2019-06_1_NPL022,SAMEA7422955,ERR4674683,PRJEB40762,ERR10176021,PRJEB56005,ERR4674681,PRJEB40764
OSD171,OSD171_2019-06,OSD171_2019-06_NPL022_1,OSD171_2019-06_1_NPL022,SAMEA7422956,ERR4674686,PRJEB40762,ERR10176022,PRJEB56005,ERR4674684,PRJEB40764
OSD170,OSD170_2019-06,OSD170_2019-06_NPL022_1,OSD170_2019-06_1_NPL022,SAMEA7422957,ERR4674689,PRJEB40762,ERR10176023,PRJEB56005,ERR4674687,PRJEB40764
OSD159,OSD159_2019-06,OSD159_2019-06_NPL022_1,OSD159_2019-06_1_NPL022,SAMEA7422958,ERR4674692,PRJEB40762,ERR10176024,PRJEB56005,ERR4674690,PRJEB40764
OSD153,OSD153_2019-06,OSD153_2019-06_NPL022_1,OSD153_2019-06_1_NPL022,SAMEA7422959,ERR4674695,PRJEB40762,ERR10176025,PRJEB56005,ERR4674693,PRJEB40764
OSD152,OSD152_2019-06,OSD152_2019-06_NPL022_1,OSD152_2019-06_1_NPL022,SAMEA7422960,ERR4674698,PRJEB40762,ERR10176026,PRJEB56005,ERR4674696,PRJEB40764
OSD122,OSD122_2019-06,OSD122_2019-06_NPL022_1,OSD122_2019-06_1_NPL022,SAMEA7422961,ERR4674701,PRJEB40762,ERR10176027,PRJEB56005,ERR4674699,PRJEB40764
OSD100,OSD100_2019-06,OSD100_2019-06_NPL022_1,OSD100_2019-06_1_NPL022,SAMEA7422962,ERR4674704,PRJEB40762,ERR10176028,PRJEB56005,ERR4674702,PRJEB40764
